iter	Passed	Remaining
602	5895	3881
603	5904	3871
604	5915	3862
605	5925	3852
606	5934	3842
607	5944	3832
608	5954	3822
609	5963	3812
610	5973	3803
611	5985	3794
612	5995	3785
613	6005	3775
614	6014	3765
615	6024	3755
616	6034	3745
617	6043	3735
618	6053	3725
619	6062	3715
620	6072	3706
621	6082	3696
622	6092	3686
623	6101	3676
624	6111	3667
625	6121	3657
626	6131	3647
627	6141	3637
628	6150	3627
629	6160	3618
630	6169	3608
631	6182	3600
632	6192	3590
633	6201	3580
634	6211	3570
635	6220	3560
636	6230	3550
637	6240	3540
638	6249	3530
639	6259	3521
640	6269	3511
641	6279	3501
642	6289	3491
643	6299	3482
644	6308	3472
645	6318	3462
646	6328	3452
647	6337	3442
648	6347	3432
649	6357	3423
650	6367	3413
651	6379	3404
652	6389	3395
653	6399	3385
654	6409	3376
655	6420	3366
656	6429	3356
657	6439	3346
658	6449	3337
659	6458	3327
660	6468	3317
661	6478	3307
662	6487	3297
663	6497	3287
664	6506	3277
665	6516	3267
666	6525	3257
667	6535	3248
668	6545	3238
669	6554	3228
670	6564	3218
671	6576	3210
672	6586	3200
673	6596	3190
674	6605	3180
675	6615	3170
676	6624	3160
677	6634	3151
678	6644	3141
679	6654	3131
680	6663	3121
681	6674	3111
682	6683	3102
683	6693	3092
684	6703	3082
685	6713	3073
686	6723	3063
687	6733	3053
688	6742	3043
689	6752	3033
690	6763	3024
691	6775	3015
692	6785	3005
693	6795	2996
694	6805	2986
695	6815	2976
696	6825	2967
697	6834	2957
698	6844	2947
699	6854	2937
700	6864	2928
701	6874	2918
702	6884	2908
703	6894	2898
704	6903	2888
705	6913	2879
706	6923	2869
707	6933	2859
708	6942	2849
709	6952	2839
710	6962	2830
711	6974	2821
712	6984	2811
713	6993	2801
714	7003	2791
715	7013	2781
716	7022	2771
717	7032	2762
718	7042	2752
719	7051	2742
720	7061	2732
721	7072	2723
722	7081	2713
723	7090	2703
724	7100	2693
725	7109	2683
726	7119	2673
727	7128	2663
728	7137	2653
729	7147	2643
730	7156	2633
731	7166	2623
732	7176	2614
733	7186	2604
734	7195	2594
735	7205	2584
736	7215	2574
737	7224	2564
738	7234	2555
739	7244	2545
740	7253	2535
741	7263	2525
742	7275	2516
743	7284	2506
744	7294	2496
745	7303	2486
746	7313	2476
747	7323	2467
748	7333	2457
749	7343	2447
750	7353	2437
751	7362	2428
752	7372	2418
753	7382	2408
754	7392	2398
755	7401	2389
756	7411	2379
757	7421	2369
758	7431	2359
759	7440	2349
760	7450	2339
761	7460	2330
762	7472	2321
763	7481	2311
764	7491	2301
765	7501	2291
766	7510	2281
767	7520	2271
768	7530	2262
769	7540	2252
770	7549	2242
771	7559	2232
772	7568	2222
773	7578	2212
774	7587	2202
775	7597	2192
776	7606	2183
777	7616	2173
778	7627	2163
779	7638	2154
780	7647	2144
781	7657	2134
782	7672	2126
783	7683	2116
784	7693	2107
785	7702	2097
786	7712	2087
787	7722	2077
788	7731	2067
789	7741	2057
790	7750	2047
791	7759	2037
792	7769	2028
793	7779	2018
794	7788	2008
795	7798	1998
796	7807	1988
797	7816	1978
798	7826	1968
799	7836	1959
800	7845	1949
801	7855	1939
802	7864	1929
803	7874	1919
804	7884	1909
805	7894	1900
806	7903	1890
807	7913	1880
808	7923	1870
809	7932	1860
810	7942	1850
811	7951	1841
812	7961	1831
813	7971	1821
814	7980	1811
815	7990	1801
816	7999	1791
817	8009	1782
818	8018	1772
819	8028	1762
820	8037	1752
821	8047	1742
822	8057	1732
823	8069	1723
824	8079	1713
825	8088	1703
826	8098	1694
827	8107	1684
828	8117	1674
829	8127	1664
830	8136	1654
831	8146	1644
832	8155	1635
833	8165	1625
834	8175	1615
835	8184	1605
836	8194	1595
837	8204	1586
838	8213	1576
839	8223	1566
840	8233	1556
841	8243	1546
842	8252	1537
843	8265	1527
844	8275	1517
845	8285	1508
846	8294	1498
847	8304	1488
848	8313	1478
849	8323	1468
850	8332	1458
851	8342	1449
852	8351	1439
853	8361	1429
854	8370	1419
855	8380	1409
856	8390	1399
857	8399	1390
858	8409	1380
859	8418	1370
860	8428	1360
861	8437	1350
862	8447	1341
863	8457	1331
864	8469	1321
865	8479	1312
866	8488	1302
867	8498	1292
868	8508	1282
869	8518	1272
870	8527	1262
871	8537	1253
872	8547	1243
873	8557	1233
874	8567	1223
875	8576	1214
876	8586	1204
877	8596	1194
878	8606	1184
879	8616	1174
880	8625	1165
881	8635	1155
882	8645	1145
883	8654	1135
884	8666	1126
885	8676	1116
886	8686	1106
887	8696	1096
888	8705	1086
889	8715	1077
890	8724	1067
891	8734	1057
892	8744	1047
893	8753	1037
894	8764	1028
895	8774	1018
896	8784	1008
897	8793	998
898	8803	989
899	8814	979
900	8824	969
901	8834	959
902	8843	950
903	8853	940
904	8864	930
905	8874	920
906	8885	911
907	8894	901
908	8903	891
909	8913	881
910	8922	871
911	8932	861
912	8942	852
913	8952	842
914	8962	832
915	8972	822
916	8982	812
917	8991	803
918	9001	793
919	9010	783
920	9020	773
921	9030	763
922	9041	754
923	9050	744
924	9064	734
925	9073	725
926	9083	715
927	9093	705
928	9103	695
929	9113	685
930	9123	676
931	9132	666
932	9142	656
933	9152	646
934	9162	636
935	9172	627
936	9182	617
937	9192	607
938	9202	597
939	9211	587
940	9220	578
941	9230	568
942	9240	558
943	9249	548
944	9263	539
945	9272	529
946	9282	519
947	9293	509
948	9302	499
949	9312	490
950	9322	480
951	9331	470
952	9341	460
953	9350	450
954	9360	441
955	9370	431
956	9379	421
957	9389	411
958	9398	401
959	9408	392
960	9417	382
961	9428	372
962	9437	362
963	9447	352
964	9460	343
965	9470	333
966	9479	323
967	9489	313
968	9499	303
969	9508	294
970	9518	284
971	9528	274
972	9538	264
973	9547	254
974	9557	245
975	9567	235
976	9576	225
977	9586	215
978	9595	205
979	9605	196
980	9615	186
981	9624	176
982	9634	166
983	9644	156
984	9655	147
985	9665	137
986	9674	127
987	9684	117
988	9694	107
989	9704	98
990	9713	88
991	9723	78
992	9732	68
993	9742	58
994	9751	49
995	9762	39
996	9772	29
997	9781	19
998	9792	9
999	9802	0
